"Year","Total Cognizable Crimes - Male","Total Cognizable Crimes - Female","Murder - Male","Murder - Female","Culpable Homocide not amounting to murder - Male","Culpable Homocide not amounting to murder - Female","Rape - Male","Rape - Female","Kidnapping and Abduction - Male","Kidnapping and Abduction - Female","Dacoity - Male","Dacoity - Female","Robbery - Male","Robbery - Female","Burglary - Male","Burglary - Female","Theft - Male","Theft - Female","Riots - Male","Riots - Female","Criminal Breach of Trust - Male","Criminal Breach of Trust - Female","Cheating - Male","Cheating - Female","Counterfeiting - Male","Counterfeiting - Female"
"2001","2526932","144608","71888","3434","6472","123","19951","495","29379","1506","24396","107","29395","128","65857","1039","157964","4250","377540","20826","15229","422","41303","1484","1939","41"
"2002","2550235","146308","71438","3589","6925","142","20780","456","28975","1753","23303","174","27437","140","63478","1200","158924","4991","355577","19422","15033","478","43890","1786","2197","69"
"2003","2359217","151309","62495","3501","7546","162","19499","495","25091","1450","18740","102","26152","184","60307","1090","154238","5280","306120","17884","14651","504","42799","2074","2283","43"
"2004","2506941","153969","62740","3475","7071","159","21964","525","29419","1685","19905","146","27530","160","63484","971","181236","4769","318771","15768","15080","478","46152","2351","2361","80"
"2005","2470238","151309","61958","3543","6675","151","22640","572","30033","1757","19414","202","27834","156","65642","1380","202560","6110","304991","15882","15278","534","47415","2445","2553","54"
"2006","2499048","154635","59630","3439","6497","182","23203","589","30493","1846","17544","157","28587","168","65923","1200","193754","5474","286417","16457","14597","580","51058","2867","2880","34"
"2007","2615384","165175","59457","3812","6652","150","24811","552","33307","2255","17811","306","29527","293","65715","1345","188850","5332","296667","18279","17898","559","59633","2752","2540","63"
"2008","2713971","168315","57674","3781","6563","121","24361","675","36159","2022","17588","222","31452","232","66534","1302","202165","6146","313837","19097","19179","716","62224","2856","2573","103"
"2009","2669731","179294","58658","4007","6366","113","25096","749","39722","2031","17217","289","33008","251","67186","1269","187357","6991","286458","17144","18972","623","64587","3249","2948","59"
"2010","2765423","181699","58668","3798","6983","196","26357","717","43149","2349","17096","225","34827","301","66831","1461","187873","6193","301727","17188","19754","684","73918","3844","2189","43"
